file,rows,final_step,final_sim_time,final_reward,final_total_waiting,final_vehicle_count,final_avg_travel_time,final_eval_wait_only_reward,final_avg_waiting,final_final_waiting,final_decision_step,final_time,final_action,final_phase_id,final_state_north_bucket,final_state_east_bucket,final_state_south_bucket,final_state_west_bucket,final_episode,final_total_reward,final_mean_reward_per_decision,final_final_avg_travel_time,final_epsilon,final_state_phase_bucket,final_state_north_count,final_state_east_count,final_state_south_count,final_state_west_count,final_state_phase,final_num_decisions,final_run,final_mean_total_reward,final_mean_final_waiting,final_mean_avg_waiting,final_mean_avg_travel_time,final_baseline_mean_total_reward,final_baseline_mean_final_waiting,final_baseline_mean_avg_waiting,final_baseline_mean_avg_travel_time
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_no_phase_default_reward/q_learning_trace.csv,144,,,-57.0,57.0,99.0,132.1990171990172,,,,143.0,720.0,0.0,1.0,2.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_no_phase_default_reward/q_learning_training.csv,2000,,,,,,,,14.055555555555555,39.0,,,,,,,,,2000.0,-2024.0,-14.055555555555555,86.13513513513513,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_no_phase_delta_wait/training.csv,2000,,,,,,,,,23.0,,,,,,,,,2000.0,-23.0,,88.17936117936118,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_no_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-55.3,51.0,86.0,106.77149877149876,,,,143.0,720.0,4.0,5.0,3.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_no_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,24.88888888888889,49.0,,,,,,,,,2000.0,-4015.8999999999983,-27.88819444444444,107.29729729729728,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_no_phase_wait_vehicle/q_learning_trace.csv,144,,,-54.5,45.0,95.0,124.1891891891892,,,,143.0,720.0,3.0,4.0,4.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_no_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,24.65277777777778,51.0,,,,,,,,,2000.0,-4426.6,-30.74027777777778,108.992628992629,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_with_phase_default_reward/q_learning_trace.csv,144,,,-56.0,56.0,93.0,129.76658476658477,,,,143.0,720.0,5.0,6.0,3.0,4.0,4.0,0.0,,,,,,5.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_with_phase_default_reward/q_learning_training.csv,2000,,,,,,,,32.548611111111114,41.0,,,,,,,,,2000.0,-4687.0,-32.548611111111114,122.72727272727272,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_with_phase_delta_wait/q_learning_trace.csv,144,,,3.0,12.0,59.0,91.45945945945944,,,,143.0,720.0,0.0,1.0,2.0,3.0,1.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/q_learning_bucketed_with_phase_delta_wait/q_learning_training.csv,2000,,,,,,,,16.1875,24.0,,,,,,,,,2000.0,-24.0,-0.1666666666666666,95.90417690417692,0.05,,,,,,,,,,,,,,,,
